restaurant_name,food_item,description,price,special_price,special_from,,,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ARAFA CHICKEN PARK,Chicken Gola Urundai (2pcs),,77,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,8
ARAFA CHICKEN PARK,Chicken Gola Urundai (4pcs),,132,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,9
ARAFA CHICKEN PARK,Mutton Gola Urundai (2 pcs),,99,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,10
ARAFA CHICKEN PARK,Mutton Gola Urundai (4 pcs),,176,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,11
ARAFA CHICKEN PARK,Fish Masala,,242,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,1
ARAFA CHICKEN PARK,Fish Fry 1 Pc,,165,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,2
ARAFA CHICKEN PARK,Fish Dragon,,242,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,3
ARAFA CHICKEN PARK,Fish Chilly,,242,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,4
ARAFA CHICKEN PARK,Fish Polichathu,,275,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,5
ARAFA CHICKEN PARK,Prawn Masala,,319,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,6
