restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Pepper Chicken Gravy,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,8,5
DINDIGUL VELU BRIYANI,Butter Chicken Gravy,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,8,6
DINDIGUL VELU BRIYANI,Hyderabad Chicken Gravy,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,8,7
DINDIGUL VELU BRIYANI,Chicken Wings Pepper Masala,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,8,8
DINDIGUL VELU BRIYANI,Chicken Tikka Masala,,240,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravys,,0,,8,9
DINDIGUL VELU BRIYANI,Mutton Kudal Kuzhambu,,190,,,9.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravys,,0,,9,1
DINDIGUL VELU BRIYANI,Mutton Chettinad Gravy,,230,,,11.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravys,,0,,9,2
DINDIGUL VELU BRIYANI,Mutton Pepper Masala,,230,,,11.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravys,,0,,9,3
DINDIGUL VELU BRIYANI,Mutton Pallipalayam Gravy,,230,,,11.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravys,,0,,9,4
DINDIGUL VELU BRIYANI,Kaadai Masala,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai Starters,,0,,10,1
